station,location,latitude,longitude,type
JB-1,start,27.5888536,-82.6010819,transect
JB-1,end,27.5886382,-82.6007826,transect
JB-2,start,27.5857652,-82.5977023,transect
JB-2,end,27.5861589,-82.5976097,transect
JB-6,start,27.59325,-82.5915035,transect
JB-6,end,27.59157,-82.5915035,transect
CB-2,start,27.5970526,-82.5745673,transect
CB-2,end,27.596872,-82.5749774,transect
CB-0,start,27.5939402,-82.574096,transect
CB-0,end,27.5942555,-82.5738743,transect
CB-18,start,27.5979773,-82.5779476,transect
CB-18,end,27.5976168,-82.5777212,transect
CB-6,,27.5992721,-82.5780987,discrete
TB-0,,27.594491,-82.5858966,discrete
JB-55,,27.5882761,-82.5920851,discrete
S3T5,start ,27.67369,-82.53654,transect
S3T5,end,27.677683,-82.5416,transect
S3T6,start,27.642967,-82.557233,transect
S3T6,end,27.646317,-82.5598,transect
S4T1,start ,27.633183,-82.56925,transect
S4T1,end,27.635,-82.565667,transect
S4T2,start,27.607367,-82.573717,transect
S4T2,end,27.611483,-82.57405,transect
S4T3,start ,27.594217,-82.593383,transect
S4T3,end,27.59605,-82.594033,transect
