source_lng,source,station,lat,lon,comment
Hillsborough Co.,EPC,21,27.6625,-82.563904,
Hillsborough Co.,EPC,22,27.608101,-82.571198,
Hillsborough Co.,EPC,23,27.666,-82.599197,
Hillsborough Co.,EPC,24,27.5884,-82.619301,
Hillsborough Co.,EPC,90,27.625999,-82.591499,
Hillsborough Co.,EPC,91,27.627899,-82.641502,
Hillsborough Co.,EPC,PP21,27.6625,-82.563904,
Hillsborough Co.,EPC,PP90,27.625999,-82.591499,
Hillsborough Co.,EPC,PP22,27.608101,-82.571198,
Hillsborough Co.,EPC,PP24,27.5884,-82.619301,
Hillsborough Co.,EPC,PP91,27.627899,-82.641502,
Hillsborough Co.,EPC,PP23,27.666,-82.599197,
Hillsborough Co.,EPC,21PP05s,27.615783,-82.57405,
Hillsborough Co.,EPC,21PP07s,27.607367,-82.575533,
Hillsborough Co.,EPC,21PP20s,27.59725,-82.59205,
Hillsborough Co.,EPC,21PP09s,27.5754,-82.617617,
Hillsborough Co.,EPC,21PP10s,27.57935,-82.63065,
Hillsborough Co.,EPC,PP84,27.729,-82.498703,
Hillsborough Co.,EPC,21PP01s,27.6933,-82.531517,
Hillsborough Co.,EPC,21PP02s,27.689117,-82.525967,
Hillsborough Co.,EPC,21PP03s,27.663917,-82.547217,
Hillsborough Co.,EPC,21PP06s,27.60555,-82.56285,
Hillsborough Co.,EPC,21PP04s,27.650017,-82.55575,
Hillsborough Co.,EPC,PP16,27.723801,-82.533798,
Hillsborough Co.,EPC,PP19,27.693399,-82.555901,
Hillsborough Co.,EPC,MC431,27.5112,-82.5979,
Hillsborough Co.,EPC,MC434,27.51733,-82.6188,
Hillsborough Co.,EPC,MC430,27.52936,-82.60772,
Hillsborough Co.,EPC,MC408,27.54783,-82.5992,
Hillsborough Co.,EPC,MC405,27.55267,-82.5873,
Hillsborough Co.,EPC,MC395,27.56755,-82.5731,
Hillsborough Co.,EPC,MC422,27.55748,-82.6332,
Hillsborough Co.,EPC,MB01,27.5738,-82.6045,
Hillsborough Co.,EPC,MC396,27.59106,-82.6218,
Hillsborough Co.,EPC,MC365,27.61245,-82.6067,
